partner_id,partner_name,partner_type,role_type,contact_name,email,phone,region,status,start_date,end_date,notes
1,Ana Reyes,Organization,SafehouseOps,Ana Reyes,ana-reyes@hopepartners.ph,+63 993 532 6574,Luzon,Active,2022-01-01,,Primary contractor
2,Maria Santos,Individual,Evaluation,Maria Santos,maria-santos@pldt.net.ph,+63 927 194 7224,Luzon,Active,2022-01-21,,Primary contractor
3,Elena Cruz,Individual,Education,Elena Cruz,elena-cruz@eastern.com.ph,+63 966 926 1711,Mindanao,Active,2022-02-10,,Primary contractor
4,Sofia Dizon,Organization,Logistics,Sofia Dizon,sofia-dizon@bayanihanfoundation.ph,+63 947 400 6925,Visayas,Active,2022-03-02,,Primary contractor
5,Grace Flores,Individual,SafehouseOps,Grace Flores,grace-flores@yahoo.com.ph,+63 991 333 5741,Visayas,Active,2022-03-22,,Primary contractor
6,Joy Garcia,Individual,Maintenance,Joy Garcia,joy-garcia@yahoo.com.ph,+63 995 384 8428,Mindanao,Active,2022-04-11,,Primary contractor
7,Lina Mendoza,Organization,FindSafehouse,Lina Mendoza,lina-mendoza@unityalliance.ph,+63 955 786 5374,Luzon,Active,2022-05-01,,Primary contractor
8,Noel Torres,Individual,Logistics,Noel Torres,noel-torres@yahoo.com.ph,+63 951 750 3803,Visayas,Active,2022-05-21,,Primary contractor
9,Mark Lopez,Individual,SafehouseOps,Mark Lopez,mark-lopez@smart.com.ph,+63 995 376 4598,Luzon,Active,2022-06-10,,Primary contractor
10,Ramon Bautista,Organization,Logistics,Ramon Bautista,ramon-bautista@hopepartners.ph,+63 915 924 6168,Mindanao,Active,2022-06-30,,Primary contractor
11,Paolo Navarro,Individual,SafehouseOps,Paolo Navarro,paolo-navarro@eastern.com.ph,+63 977 317 9179,Luzon,Active,2022-07-20,,Secondary contractor
12,Jessa Ramos,Individual,SafehouseOps,Jessa Ramos,jessa-ramos@smart.com.ph,+63 937 371 3287,Mindanao,Active,2022-08-09,,Secondary contractor
13,Mica Castillo,Organization,Evaluation,Mica Castillo,mica-castillo@faithgroup.ph,+63 949 508 6930,Visayas,Active,2022-08-29,,Secondary contractor
14,Leah Gomez,Individual,Education,Leah Gomez,leah-gomez@eastern.com.ph,+63 928 193 1771,Mindanao,Active,2022-09-18,,Secondary contractor
15,Ruth Naval,Individual,Transport,Ruth Naval,ruth-naval@globe.com.ph,+63 992 532 2040,Luzon,Active,2022-10-08,,Secondary contractor
16,Ivan Pascual,Organization,SafehouseOps,Ivan Pascual,ivan-pascual@kapatiranalliance.ph,+63 947 981 1188,Visayas,Active,2022-10-28,,Secondary contractor
17,Aiko Rivera,Individual,Logistics,Aiko Rivera,aiko-rivera@eastern.com.ph,+63 967 887 6573,Luzon,Active,2022-11-17,,Secondary contractor
18,Mara Salazar,Individual,Education,Mara Salazar,mara-salazar@smart.com.ph,+63 905 839 5315,Luzon,Active,2022-12-07,,Secondary contractor
19,Paula Tan,Organization,Maintenance,Paula Tan,paula-tan@brightalliance.ph,+63 998 619 4258,Mindanao,Active,2022-12-27,,Secondary contractor
20,Chris Uy,Individual,Education,Chris Uy,chris-uy@eastern.com.ph,+63 939 100 6310,Mindanao,Active,2023-01-16,,Secondary contractor
21,Ben Diaz,Individual,SafehouseOps,Ben Diaz,ben-diaz@pldt.net.ph,+63 976 345 1949,Luzon,Active,2023-02-05,,Secondary contractor
22,Kai Javier,Organization,Evaluation,Kai Javier,kai-javier@brightfoundation.ph,+63 928 935 2133,Visayas,Active,2023-02-25,,Secondary contractor
23,Tess Lim,Individual,Maintenance,Tess Lim,tess-lim@globe.com.ph,+63 936 775 8787,Visayas,Active,2023-03-17,,Secondary contractor
24,Nina Vega,Individual,Maintenance,Nina Vega,nina-vega@eastern.com.ph,+63 951 533 4470,Luzon,Active,2023-04-06,,Secondary contractor
25,Rico Ramos,Organization,Maintenance,Rico Ramos,rico-ramos@globalalliance.ph,+63 996 787 7118,Mindanao,Active,2023-04-26,,Secondary contractor
26,Maya Serrano,Individual,SafehouseOps,Maya Serrano,maya-serrano@yahoo.com.ph,+63 965 330 2049,Visayas,Active,2023-05-16,,Secondary contractor
27,Ivy Valdez,Individual,Evaluation,Ivy Valdez,ivy-valdez@globe.com.ph,+63 949 325 1117,Visayas,Active,2023-06-05,,Secondary contractor
28,Paul Yap,Organization,Education,Paul Yap,paul-yap@globalfoundation.ph,+63 915 980 6413,Visayas,Inactive,2023-06-25,2025-12-31,Secondary contractor
29,June Cortez,Individual,Education,June Cortez,june-cortez@smart.com.ph,+63 955 652 3167,Luzon,Inactive,2023-07-15,2025-12-31,Secondary contractor
30,Lara Soriano,Individual,Logistics,Lara Soriano,lara-soriano@eastern.com.ph,+63 921 348 8749,Mindanao,Inactive,2023-08-04,2025-12-31,Secondary contractor
