supporter_id,supporter_type,display_name,organization_name,first_name,last_name,relationship_type,region,country,email,phone,status,created_at,first_donation_date,acquisition_channel
1,SocialMediaAdvocate,Mila Alvarez,,Mila,Alvarez,Local,Luzon,Philippines,mila-alvarez@smart.com.ph,+63 997 578 1887,Active,2022-01-01 00:00:00,2023-07-02,SocialMedia
2,Volunteer,Aria Brown,,Aria,Brown,Local,Mindanao,Philippines,aria-brown@pldt.net.ph,+63 927 354 4139,Active,2022-01-06 00:00:00,2023-09-25,SocialMedia
3,MonetaryDonor,Noah Chen,,Noah,Chen,Local,Luzon,Philippines,noah-chen@globe.com.ph,+63 917 553 2604,Active,2022-01-11 00:00:00,2023-06-25,SocialMedia
4,MonetaryDonor,Liam Diaz,,Liam,Diaz,PartnerOrganization,Mindanao,Philippines,liam-diaz@globe.com.ph,+63 945 516 8956,Active,2022-01-16 00:00:00,2026-03-01,Church
5,InKindDonor,Emma Evans,,Emma,Evans,PartnerOrganization,Mindanao,Philippines,emma-evans@yahoo.com.ph,+63 995 371 8454,Active,2022-01-21 00:00:00,2024-01-18,Website
6,MonetaryDonor,Olivia Ford,,Olivia,Ford,International,Visayas,USA,olivia-ford@yahoo.com,+1 (206) 358-4111,Active,2022-01-26 00:00:00,2023-03-22,WordOfMouth
7,MonetaryDonor,Ethan Garcia,,Ethan,Garcia,International,Mindanao,USA,ethan-garcia@aol.com,+1 (212) 251-8811,Active,2022-01-31 00:00:00,2023-10-19,Event
8,InKindDonor,Isla Hernandez,,Isla,Hernandez,Local,Mindanao,Philippines,isla-hernandez@yahoo.com.ph,+63 953 170 2113,Active,2022-02-05 00:00:00,2023-11-06,Church
9,Volunteer,Sophia Ibrahim,,Sophia,Ibrahim,Local,Luzon,Philippines,sophia-ibrahim@globe.com.ph,+63 949 708 1651,Active,2022-02-10 00:00:00,2024-11-04,PartnerReferral
10,Volunteer,Lucas Jones,,Lucas,Jones,International,Luzon,Singapore,lucas-jones@gmail.com,+65 8785 6147,Active,2022-02-15 00:00:00,2024-10-18,Event
11,MonetaryDonor,Maya Kim,,Maya,Kim,International,Luzon,USA,maya-kim@gmail.com,+1 (469) 274-1152,Active,2022-02-20 00:00:00,2024-08-20,SocialMedia
12,InKindDonor,Ella Lopez,,Ella,Lopez,PartnerOrganization,Mindanao,Philippines,ella-lopez@globe.com.ph,+63 929 371 3170,Active,2022-02-25 00:00:00,2023-02-24,Website
13,PartnerOrganization,Hope Group,Hope Group,,,Local,Luzon,Philippines,hope-group@hopegroup.ph,+63 976 726 9666,Active,2022-03-02 00:00:00,2023-02-10,PartnerReferral
14,MonetaryDonor,Owen Nguyen,,Owen,Nguyen,Local,Mindanao,Philippines,owen-nguyen@globe.com.ph,+63 966 218 2753,Active,2022-03-07 00:00:00,2023-12-25,WordOfMouth
15,SkillsContributor,Zoe Ortiz,,Zoe,Ortiz,Local,Luzon,Philippines,zoe-ortiz@pldt.net.ph,+63 955 803 5325,Active,2022-03-12 00:00:00,2024-09-15,Website
16,InKindDonor,Iris Patel,,Iris,Patel,PartnerOrganization,Luzon,Philippines,iris-patel@smart.com.ph,+63 967 145 1058,Active,2022-03-17 00:00:00,2025-07-15,Website
17,MonetaryDonor,Hana Quinn,,Hana,Quinn,PartnerOrganization,Luzon,Philippines,hana-quinn@smart.com.ph,+63 947 822 8007,Active,2022-03-22 00:00:00,2024-12-29,Website
18,InKindDonor,Theo Reed,,Theo,Reed,PartnerOrganization,Luzon,Philippines,theo-reed@globe.com.ph,+63 946 136 7049,Active,2022-03-27 00:00:00,2024-10-09,WordOfMouth
19,Volunteer,Nora Singh,,Nora,Singh,Local,Luzon,Philippines,nora-singh@yahoo.com.ph,+63 979 315 5088,Active,2022-04-01 00:00:00,2024-12-02,SocialMedia
20,Volunteer,Ezra Taylor,,Ezra,Taylor,International,Luzon,Canada,ezra-taylor@gmail.com,+1 (347) 358-4878,Active,2022-04-06 00:00:00,2023-03-23,PartnerReferral
21,SocialMediaAdvocate,June Usman,,June,Usman,PartnerOrganization,Mindanao,Philippines,june-usman@yahoo.com.ph,+63 953 854 6442,Active,2022-04-11 00:00:00,2023-07-25,PartnerReferral
22,SkillsContributor,Nico Vasquez,,Nico,Vasquez,International,Luzon,USA,nico-vasquez@gmail.com,+1 (415) 918-2771,Active,2022-04-16 00:00:00,2025-11-13,WordOfMouth
23,MonetaryDonor,Ria White,,Ria,White,Local,Luzon,Philippines,ria-white@smart.com.ph,+63 979 412 4728,Active,2022-04-21 00:00:00,2024-11-21,Website
24,MonetaryDonor,Sean Xu,,Sean,Xu,Local,Visayas,Philippines,sean-xu@yahoo.com.ph,+63 967 459 9346,Active,2022-04-26 00:00:00,2023-11-08,SocialMedia
